,samples,method,return,Dev. MF,Dev. Policy
0,1,PIAIRL,21.341234389537313,0.5822350926807517,0.3714531015928779
1,1,MFIRL,21.271523634009043,0.6997903975414602,0.5053565778516296
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.53025523911802,0.3278574421290532,0.19202028997733236
1,2,MFIRL,21.278124659837925,1.1237540830462152,0.4550043292221998
2,2,EXPERT,21.691489980170484,0.0,0.0
0,3,PIAIRL,21.420453896030786,0.7759186067054389,0.284071750108177
1,3,MFIRL,20.96101963559032,1.6894559859247162,0.76100358770735
2,3,EXPERT,21.691489980170484,0.0,0.0
0,4,PIAIRL,21.351953847505627,0.2676361117269935,0.3617752750275063
1,4,MFIRL,21.280584517697022,1.2072052977445975,0.4529635529783367
2,4,EXPERT,21.691489980170484,0.0,0.0
0,5,PIAIRL,21.23904661671132,0.5694174423294432,0.504669333376442
1,5,MFIRL,21.219390161281197,1.0541586903792939,0.5019015822631874
2,5,EXPERT,21.691489980170484,0.0,0.0
0,6,PIAIRL,21.17003768554491,0.6978024490353377,0.6249982951245321
1,6,MFIRL,21.203090917172187,0.5969870576073593,0.5481007324783607
2,6,EXPERT,21.691489980170484,0.0,0.0
0,7,PIAIRL,21.462250815530815,0.7621271901366123,0.23128681337567844
1,7,MFIRL,21.265431738774137,1.0970375696430994,0.4562411471954303
2,7,EXPERT,21.691489980170484,0.0,0.0
0,8,PIAIRL,21.257594868552804,1.6183563462645316,0.46903186650648077
1,8,MFIRL,21.174803328863483,0.7622753084757206,0.619429784104627
2,8,EXPERT,21.691489980170484,0.0,0.0
0,9,PIAIRL,21.140848453736325,1.5460944379695927,0.5573713516233024
1,9,MFIRL,21.24437590486283,0.8741137232945697,0.4881723966614192
2,9,EXPERT,21.691489980170484,0.0,0.0
0,10,PIAIRL,21.14153732762013,1.9610670401443464,0.5558526774158259
1,10,MFIRL,21.280169283360028,0.39335217177225484,0.453391036572483
2,10,EXPERT,21.691489980170484,0.0,0.0
0,1,PIAIRL,21.43661317091475,0.3286661982140413,0.28168155190149347
1,1,MFIRL,21.482868163568632,0.8932721973804973,0.2278424786501932
2,1,EXPERT,21.691489980170484,0.0,0.0
0,2,PIAIRL,21.29875017612002,1.576321578128391,0.4520751187322076
1,2,MFIRL,21.30189479208773,0.7546004540241359,0.43142449636206515
