,samples,method,return,Dev. MF,Dev. Policy
0,7,PIAIRL,12.785652193420857,5.428487321106912,0.03206024821291788
1,7,MFIRL,12.70126636118979,10.939472579044278,0.06616521588530391
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.755448587412024,4.897263346756299,0.36053042919922373
1,8,MFIRL,12.666157905328948,9.783832741972999,0.18735679014174192
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.527474490626231,7.986361565495323,0.1448054448900975
1,9,MFIRL,12.51589339432966,4.652303558052607,0.27422977438360996
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,13.050148335219347,8.90160247039617,0.20645055675152924
1,10,MFIRL,12.80030887116341,8.562553453067144,0.1323071333606446
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.765525502344492,5.330990310915928,0.20373941486094352
1,11,MFIRL,12.981915638980574,5.212280420743554,0.055744972875497484
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.564488898510918,7.523805859843396,0.38673842389576063
1,12,MFIRL,12.495106050994618,9.095084422857845,0.31571702117198297
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.760716854114154,3.1751076314082796,0.17448073005484532
1,13,MFIRL,12.522810931164754,6.315604747027426,0.025195295761347908
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,12.394330205535692,9.587682822807984,0.14422137054885092
1,14,MFIRL,13.206387305148422,6.256913187093832,0.22146583518702445
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,13.081062631866153,7.6233774428490735,0.10868451323056276
1,15,MFIRL,13.013946240403724,7.648964629770938,0.058326603210584305
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,13.014700001944592,4.827406172535796,0.03188028836316273
1,7,MFIRL,11.929310487049698,5.861982210929033,0.6729024214259554
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,13.010757587700315,12.30181033947654,0.2130435503095647
1,8,MFIRL,12.57456731388147,6.348075053581326,0.05141251609945616
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,13.255816683732162,6.477050661779499,0.09065402367756403
1,9,MFIRL,12.824461510641523,9.586852086450723,0.10950775511603114
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,13.120150514524953,6.636704309317961,0.17990188783197839
1,10,MFIRL,12.668652115195332,4.721503251663673,0.02708215704817984
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.797047809608184,3.0665883954200126,0.12408326412707481
1,11,MFIRL,12.25247976849257,7.3300276027586975,0.18000763139177903
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.54828899791303,6.750722634171593,0.32046861139327076
1,12,MFIRL,12.884404692272465,9.758222495216343,0.16553506548880276
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,12.773555162759868,5.674265416735696,0.14645261595913478
1,13,MFIRL,12.950455015877946,6.505004599731736,0.06551927321123598
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,13.327676208054418,8.201330896693293,0.06022605189194423
1,14,MFIRL,12.132462839074131,7.2795057667466025,0.14940507638025866
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,12.641448756567053,6.778519530198697,0.1186462808930159
1,15,MFIRL,13.03922495154139,5.452160769917199,0.09780569683116494
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,12.564127482164208,8.14738358975465,0.3128603420838866
1,7,MFIRL,13.344030298786524,7.041612597506678,0.06438820307667598
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.908038694864267,3.2737392111083117,0.22289438105923393
1,8,MFIRL,12.87867762262779,5.82038331051541,0.15557593021957372
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.955701623757847,5.510043683740367,0.13634946960209307
1,9,MFIRL,13.052364033198819,11.823986454898483,0.06314418799933678
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.650693726081789,8.017601793192899,0.4482231266594163
1,10,MFIRL,12.743330699860385,8.272271368499519,0.0970447015387973
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.853222359070186,3.7170123607143153,0.24772501751742115
1,11,MFIRL,13.146895415874763,5.287444885001814,0.09364439177351619
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.531040572137355,7.603657474076929,0.23133300624590197
1,12,MFIRL,12.994624252896912,5.497089279844569,0.20904043125873856
2,12,EXPERT,12.810201607395484,0.0,0.0
0,13,PIAIRL,13.069045851161201,5.839945496150639,0.1111812372647115
1,13,MFIRL,13.177793398049568,7.634653782260701,0.05005258056013728
2,13,EXPERT,12.810201607395484,0.0,0.0
0,14,PIAIRL,13.223486459825196,6.164587596857323,0.03955610254591509
1,14,MFIRL,12.545613407292914,5.454434142223292,0.1241052987357206
2,14,EXPERT,12.810201607395484,0.0,0.0
0,15,PIAIRL,12.732691927690007,5.258756357109051,0.13658735635621833
1,15,MFIRL,12.867126807133076,5.037409452609689,0.2631464961028916
2,15,EXPERT,12.810201607395484,0.0,0.0
0,7,PIAIRL,13.028457329065317,4.388794095410333,0.10345472281798321
1,7,MFIRL,13.155863791752255,5.1076217423384165,0.050614951961516684
2,7,EXPERT,12.810201607395484,0.0,0.0
0,8,PIAIRL,12.391072637106497,17.54625263949795,0.3092006713593409
1,8,MFIRL,12.89917963064908,3.4177304478276582,0.05784925542813305
2,8,EXPERT,12.810201607395484,0.0,0.0
0,9,PIAIRL,12.221748079616743,10.18016607001691,0.7307435829355879
1,9,MFIRL,12.61072764679568,6.614530661244737,0.3605070698674063
2,9,EXPERT,12.810201607395484,0.0,0.0
0,10,PIAIRL,12.502655857304603,5.234146796655843,0.07422290423859484
1,10,MFIRL,12.754475904331196,10.02945104997183,0.11076956238538459
2,10,EXPERT,12.810201607395484,0.0,0.0
0,11,PIAIRL,12.866677388269187,8.528977439428402,0.09276233609651498
1,11,MFIRL,12.633986616002,10.66453132308391,0.14757277375335753
2,11,EXPERT,12.810201607395484,0.0,0.0
0,12,PIAIRL,12.58449962120734,8.471312161103844,0.2685661455576449
1,12,MFIRL,13.176784945224064,7.498213451540079,0.07054739634065443
