,samples,method,return,Dev. MF,Dev. Policy
0,1,MFIRL,4.844710269660785,0.006751503498186373,0.05653105190378538
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.836027769526661,0.01044089959806943,0.07483488971989144
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.838969251828167,0.015538371777691407,0.07685689785837697
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.8524897421177196,0.011398134011742445,0.04594246688100391
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.840342653020577,0.01986550760244357,0.08108069565820462
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.857193774603991,0.009393387474289416,0.03395390105763979
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.8332888952470645,0.016378391145834115,0.08860669564827858
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.843485086779649,0.011470197993895537,0.06275267315520479
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.815232199112724,0.016864340691288976,0.12572432953500476
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.8458796581985775,0.007951345748817368,0.05662324488588846
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.838271995344123,0.026620911592445756,0.08760210386798548
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.845432348672393,0.020674619411143513,0.06762797709903458
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.84055008146009,0.010600955791193106,0.06765502824393899
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.8469825566162985,0.022182684738382197,0.06961674451771663
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.831964432071166,0.007143201590793902,0.08653319926936862
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.8405756060656575,0.01064645544100215,0.06922777890238688
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.840507427145889,0.007069459480949641,0.06619234169460536
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.839396044888378,0.014714941308893364,0.0723236224719696
1,2,EXPERT,4.87027306107055,0.0,0.0
0,1,MFIRL,4.845350651615937,0.025412354374731827,0.0718814900681645
1,1,EXPERT,4.87027306107055,0.0,0.0
0,2,MFIRL,4.836081081499773,0.013111971354210189,0.08076145922281236
1,2,EXPERT,4.87027306107055,0.0,0.0
